Date,ADS.DE,AKZA.AS,ALV.DE,ASML.AS,ATO.PA,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BN.PA,BNP.PA,CA.PA,CAP.PA,CO.PA,CON.DE,CRBN.AS,CS.PA,DAI.DE,DBK.DE,DSY.PA,DTE.DE,EN.PA,ENGI.PA,EO.PA,EXO.MI,G.MI,GFC.PA,HEI.DE,HEIA.AS,RMS.PA
2000/4/20,2720176,3036889,390663,5473723,135022,4574714,1985976,61296,2188496,2944895,3639052,811612,285001,70841,71600,109700,7673954,3735771,2379504,250530,6479357,8461300,1335000,14678,103933,6815270,7810,29329,2788625,69699
2000/4/25,4042656,1746756,357577,1556669,84394,4449568,1757881,11982,735907,2557922,4430930,1188649,305916,54556,253370,133217,13845058,2532687,1419500,446716,4395958,5342700,2070500,5141,97520,1899590,6927,20838,1524520,8997
2000/4/26,4997584,1891911,306539,2231563,155644,3547366,1638635,46260,604234,8132056,9230875,2733014,572234,167310,190773,126800,13717422,1405284,1697999,510020,3761260,7595300,7370500,21093,86841,2240150,19849,18615,2165175,246537
2000/4/27,5391872,2203644,372110,2425466,132930,6787722,1436728,89100,602312,2906557,5645818,1850896,338512,226134,101808,124739,18165821,1568787,2218765,263980,6118247,7802300,3394500,6694,275070,3803250,15423,21896,2858291,137094
2000/4/28,5694048,1222222,367153,3549392,211464,3866916,3146541,75738,6052846,3871871,4524309,1323789,418785,155780,238946,158700,12623181,1810488,2549032,255234,5837105,8507300,2480500,33194,169070,3885420,20428,48304,1561221,26154
2000/5/1,0,391200,0,636465,0,0,0,0,0,0,0,0,0,0,0,196800,0,0,0,0,0,0,0,0,0,0,0,0,401067,0
2000/5/2,3568864,1556533,327440,3581013,188130,2208682,1809877,73803,1670743,2511258,5095309,1043689,358515,155780,211512,455400,14892148,1478615,1517371,237126,5021140,14995000,2507500,9667,311508,3140500,4018,28619,1648948,27297
2000/5/3,3880896,1085689,352379,1309684,133210,2065828,1772107,110112,1576479,4887393,4815615,1657016,394291,363129,327332,216600,25129943,1876317,1885705,92738,5355239,12338200,1999500,14548,543383,4702280,14350,22263,1009033,47682
2000/5/4,3652816,748267,317552,1346690,81679,2737716,1359096,21060,1198134,3636367,3117802,1505322,305078,156439,545653,591200,12148654,1687206,3550288,135576,5564243,11975400,2201500,33442,517148,2561680,16493,5572,699806,26841
2000/5/5,2797472,2410667,295366,998741,106736,3895664,1619223,57177,1202597,4008368,3038461,837433,541691,223997,414422,72103,12811419,1573160,2452738,197326,4179031,7439800,1839500,12618,448513,3699410,13010,18131,645151,28524
2000/5/8,3845136,1446948,353924,1580656,44792,2717260,1494102,46725,1432750,1523782,2253689,763875,213260,41876,259102,123273,9037051,1442814,0,113800,3547889,3808300,995500,5519,170978,4662570,18527,10412,951713,52509
2000/5/9,0,806528,0,3283129,50723,0,0,95475,0,6232084,4031150,1306134,309312,174532,0,504320,21236440,0,0,149084,0,18060300,0,11853,0,7567780,11063,0,1266956,82902
2000/5/10,1130336,942222,390496,2629061,83248,2054014,1437281,45510,1745742,12438920,14082325,2457467,392623,243086,367314,720100,22389082,3343369,2907289,260638,6682583,27586800,0,11725,577886,3538810,53098,29231,1379583,5757
2000/5/11,3049072,1299733,378931,5159205,88027,1944176,1744492,51876,1596200,7001266,11777402,1753582,409869,230531,305134,907900,18762335,3693701,3339185,139244,6808015,15004400,1765000,16189,112016,3783230,12741,32057,1630526,20475
2000/5/12,2437616,847200,241650,3553567,171118,1373290,1061439,44490,754980,4075294,8498582,1395619,330607,248746,167993,1378600,13991628,1934659,2009781,127726,3161442,12632700,4008500,7889,73061,6470310,2147,14727,3123165,123888
2000/5/15,1346288,1085956,264647,1778224,39945,1785182,945541,81069,617142,2405163,4402848,1391051,321031,152067,373662,471800,11651543,1354503,2908017,125620,3468074,7203400,0,6460,124815,3073730,23786,28048,1573565,34692
2000/5/16,1305024,1380178,393074,1968325,138632,2630960,1773219,251346,1222659,6976002,6873000,2054037,385899,201274,159846,1037700,16225661,2346659,5263909,280980,4904970,20483600,2609500,9802,123358,4203760,9726,36733,1759470,118119
2000/5/17,2429520,978933,288124,2509858,45852,1622188,2008091,198495,857579,3358659,7188251,1097029,601892,187429,173016,1013100,20260951,1976526,2969915,109236,8090709,8286200,2634500,26526,129983,3501960,7142,29164,1683528,67770
2000/5/18,1695168,506311,471649,1550033,105062,1585882,1550153,158874,1577477,2576777,4370529,3080988,354420,122266,370354,753400,28127427,1798269,2838088,88486,5307347,4566600,2667500,18341,168540,6210270,3299,10257,1483003,31608
2000/5/19,412032,1012951,577686,3866888,130659,4170180,1746436,53733,1235874,4451314,7230795,1438397,606326,229859,365266,906100,28940428,2204498,3610884,242886,9139255,26679700,1637000,12573,191383,7464490,28296,13846,2038966,26748
2000/5/22,2140512,1437956,436792,3232767,168428,2773968,1543609,114882,987069,3460328,5191371,1379289,651812,267508,296373,268400,37228546,2101280,2763599,216776,6639075,13178600,2165500,16700,140768,4766740,13034,26142,1015263,31872
2000/5/23,2471696,942705,1449237,2795075,128451,1929282,1643570,34755,1013323,13732624,12475935,1267837,533651,113885,119256,284300,72761571,1879541,2288968,356940,6663613,13084700,5084000,10475,107060,5149100,22588,28546,693260,69435
2000/5/24,2274224,1352356,688661,3595797,405229,2216712,1581461,69015,1462864,8672940,7435796,2154766,1651913,245166,216049,331000,64362184,1726235,4112215,563032,5611905,22094000,6334500,18151,145618,6730240,49650,9996,1858787,52497
2000/5/25,1534480,1955644,560395,3361929,185004,2159984,1876966,94770,1711439,5969857,5427244,1255203,2070093,131240,350762,336894,23470156,2197349,2857954,396476,5998129,19867000,1374000,14860,136793,8426110,8050,5212,1348852,17046
2000/5/26,1042752,2896533,446820,2215410,82858,2747986,1451590,105933,951479,3715264,7158123,1595795,911118,157754,197399,255200,22125976,2105477,4444158,138232,6254227,12492600,2623500,14522,94473,7445020,2567,9606,1278545,51141
2000/5/29,513264,1363822,234274,1318308,158085,814720,641061,39060,191406,1710826,3224280,2164206,291045,222778,86398,84400,13406549,1428991,0,494678,2968118,14024800,1228500,7991,54908,3589190,809,12462,1049785,219288
2000/5/30,2203120,2015694,388668,1850601,264555,1612020,1430746,28890,1005744,3291140,5589976,1814447,750798,144082,308087,427200,14801746,1564328,3450494,472350,5963290,12012000,1904000,23202,66648,4101240,7427,9514,1589728,34491
2000/5/31,1634608,3596444,572102,3452269,244579,5661290,2565949,64053,1287602,7501253,6781413,1813544,1079402,224499,274814,236700,27298791,3184180,2889407,564824,7046242,18774000,2356000,10762,212398,3623840,27743,21571,2123242,40317
2000/6/1,950832,3596476,212195,3452295,135956,1952880,746093,23355,431764,1960997,3089235,965759,633110,55465,67150,236726,9839586,1554331,1505034,287998,2634577,17817000,1799000,2471,167798,3497890,8756,7168,2123242,33852
2000/6/2,2377344,3501156,692029,5508970,244993,4036382,2048150,75165,1384558,5494033,5221628,1259627,1285564,326852,162785,140000,15116787,3504446,3490995,685186,6252173,23907700,3955000,7692,472230,4975410,3911,8978,3653955,31386
2000/6/5,1803632,1041689,442504,2806291,124341,2048864,1179536,23037,487563,1876403,6904559,1242569,566815,65024,183299,334100,10959994,2114810,2328608,319020,5223485,15381500,2883000,26246,355551,4184730,47335,46119,2842671,18780
2000/6/6,326572,1266667,2446253,1555263,125615,5167938,1943488,95277,984793,2510563,8155479,940603,539343,85945,176393,1185300,19245512,2561924,2738463,208748,4362497,14376200,2180000,34276,493218,7952890,19261,86780,2751902,90432
